X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
5556,2,132.8,133.2,0,3.50323,0,2,39.26177276,0.4,98.15443189,split,27.353,4.67362,-3.042472811,NA,NA,8,8,20-30,s
5557,2,436.4,438.8,0,3.64549,1,2,7.442864556,2.4,3.101193565,split,32.3891,2.92922,-2.025419935,NA,NA,7,7,30-40,s
5558,2,461.8,465.8,0,2.44383,1,2,8.969010475,4,2.242252619,split,27.8632,1.90814,2.365724635,55.41996032,62.02324616,8,8,20-30,s
5559,2,291,292,1,0.579733,1,2,4.10141845,1,4.10141845,split,32.8261,0.393518,11.68672282,45.7766637,38.19135933,8,8,30-40,s
5560,2,10.8,12.8,2,2.33145,1,2,44.63221828,2,22.31610914,turn,30.6518,2.33668,9.944256031,21.13074803,55.81871027,8,8,30-40,s
5561,2,22.8,26.8,2,10.012,1,2,12.50840228,4,3.127100569,turn,46.2462,12.6925,9.369101106,8.50578299,11.64508416,7,7,40-50,s
5562,2,325.8,327.2,2,1.15379,0,2,-12.36245549,1.4,-8.830325348,turn,58.9896,1.42026,1.924113362,-6.223166581,-20.50973543,8,8,50-60,s
5563,2,407,410,2,1.61954,1,2,22.67541693,3,7.558472311,turn,62.0037,1.60409,-7.822736686,25.85328493,56.35143855,8,8,>60,s
5564,2,108.6,109.4,3,1.6204,0,2,12.26874476,0.8,15.33593095,turn,41.7285,1.49446,-0.155291893,4.742446846,17.1664835,8,8,40-50,s
5565,2,332.8,335.2,3,1.31178,0,2,6.222330061,2.4,2.592637525,turn,67.1667,1.31659,-8.046181469,4.496657634,18.76516916,8,8,>60,s
5566,2,385,387.4,3,2.33912,0,2,-5.00632849,2.4,-2.085970204,turn,81.6232,2.97071,0.845505129,-6.218859238,-12.07069286,8,8,>60,s
5567,2,296.8,299.4,4,0.497332,1,2,1.139223833,2.6,0.438163013,turn,53.1049,0.821269,6.226125747,-18.14405298,-23.23095489,6,6,50-60,s
5568,2,299.2,301.4,5,2.19561,1,2,-16.78752065,2.2,-7.630691204,split,35.9362,2.34452,23.07549806,20.15820782,-19.70481089,6,6,30-40,s
